"Story","Title","Result","Date","Stability","Duration (s)"
"Creacion de nuevos usuarios","Validacion de correo electronico exitoso","SUCCESS","2022-03-27T14:28:51.6838198-05:00[America/Bogota]","0.0","22.04"
"Creacion de nuevos usuarios","Registro exitoso de nuevo usuario con campos obligatorios","SUCCESS","2022-03-27T14:29:14.7207104-05:00[America/Bogota]","0.0","27.61"
